"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Game/Developers/betri/Prototypes/M_Proto.M_Proto","0","151","151","3","566.618347","65","281"
"","0","1","0","1","0.000000","3","0"
"/InterchangeAssets/gltf/M_ClearCoat.M_ClearCoat","0","250","268","6","0.000000","0","268"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","0","80","84","1","0.000000","0","84"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","0","54","58","1","0.000000","0","58"
"/InterchangeAssets/gltf/M_Transmission.M_Transmission","0","84","84","2","0.000000","0","84"
"/InterchangeAssets/gltf/M_Unlit.M_Unlit","0","98","108","6","0.000000","0","108"
"/InterchangeAssets/gltf/M_SpecularGlossiness.M_SpecularGlossiness","0","242","252","6","0.000000","0","252"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","0","40","46","2","0.000000","0","46"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","49","54","6","0.000000","5","64"
"/ControlRig/M_Manip.M_Manip","0","10","11","1","0.000000","0","11"
"/InterchangeAssets/gltf/M_Sheen.M_Sheen","0","242","252","6","0.000000","0","252"
"/InterchangeAssets/gltf/M_Default.M_Default","0","250","268","6","0.000000","0","268"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","12","12","1","0.000000","0","12"
"/HairStrands/Materials/HairDefaultMaterial.HairDefaultMaterial","0","60","63","1","0.000000","0","63"
"/Game/LevelPrototyping/Materials/M_PrototypeGrid.M_PrototypeGrid","0","21","21","1","40.493446","0","21"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","0","982","1005","1","152.185364","0","1005"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","0","129","129","1","53.273907","0","129"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","0","31","31","1","0.000000","0","31"
"/HairStrands/Materials/HairCardsDefaultMaterial.HairCardsDefaultMaterial","0","92","98","1","0.000000","0","98"
"/HairStrands/Materials/HairMeshesDefaultMaterial.HairMeshesDefaultMaterial","0","60","63","1","0.000000","0","63"
"/CameraCalibrationCore/Materials/M_DefaultOddSquare.M_DefaultOddSquare","0","4","4","1","0.000000","0","4"
"/HairStrands/Materials/HairDebugMaterial.HairDebugMaterial","0","92","98","1","0.000000","0","98"
